2023-01-26 03:53:08,926 | INFO  | main | vbee queueName:queue_hu_gamebai id:402 path:com.vinplay.vbee.rmq.gamebai.processor.SaveLogNoHuGameBaiProcessor
2023-01-26 03:53:08,955 | INFO  | main | vbee Start 1 queue_hu_gamebai, num commands= 2 success
2023-01-26 03:53:08,956 | INFO  | main | vbee queueName:queue_log_gamebai id:501 path:com.vinplay.vbee.rmq.gamebai.processor.SaveLogGameByNickNameProcessor
2023-01-26 03:53:08,956 | INFO  | main | vbee queueName:queue_log_gamebai id:502 path:com.vinplay.vbee.rmq.gamebai.processor.SaveLogGameDetailProcessor
2023-01-26 03:53:09,025 | INFO  | main | vbee Start 10 queue_log_gamebai, num commands= 2 success
2023-01-26 03:53:09,025 | INFO  | main | vbee queueName:queue_log_money id:601 path:com.vinplay.vbee.rmq.log.processor.LogMoneyUserProcessor
2023-01-26 03:53:09,101 | INFO  | main | vbee Start 50 queue_log_money, num commands= 1 success
2023-01-26 03:53:09,102 | INFO  | main | vbee queueName:queue_log_report_user_balance id:602 path:com.vinplay.vbee.rmq.loguserinday.LogSumReportUserSQLProcessor
2023-01-26 03:53:09,189 | INFO  | main | vbee Start 50 queue_log_report_user_balance, num commands= 1 success
2023-01-26 03:53:09,190 | INFO  | main | vbee queueName:queue_log_chuyen_tien_dai_ly id:602 path:com.vinplay.vbee.rmq.log.processor.LogChuyenTienDaiLyProcessor
2023-01-26 03:53:09,190 | INFO  | main | vbee queueName:queue_log_chuyen_tien_dai_ly id:11 path:com.vinplay.vbee.rmq.payment.processor.FreezeMoneyTranferAgentProcessor
2023-01-26 03:53:09,190 | INFO  | main | vbee queueName:queue_log_chuyen_tien_dai_ly id:15 path:com.vinplay.vbee.rmq.payment.processor.RestoreMoneyTranferAgentProcessor
2023-01-26 03:53:09,222 | INFO  | main | vbee Start 10 queue_log_chuyen_tien_dai_ly, num commands= 3 success
2023-01-26 03:53:09,222 | INFO  | main | vbee queueName:queue_kho_bau id:135 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,241 | INFO  | main | vbee Start 10 queue_kho_bau, num commands= 1 success
2023-01-26 03:53:09,241 | INFO  | main | vbee queueName:queue_audition id:8001 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,264 | INFO  | main | vbee Start 10 queue_audition, num commands= 1 success
2023-01-26 03:53:09,264 | INFO  | main | vbee queueName:queue_chiemtinh id:8010 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,286 | INFO  | main | vbee Start 10 queue_chiemtinh, num commands= 1 success
2023-01-26 03:53:09,286 | INFO  | main | vbee queueName:queue_bikini id:8011 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,297 | INFO  | main | vbee Start 10 queue_bikini, num commands= 1 success
2023-01-26 03:53:09,297 | INFO  | main | vbee queueName:queue_range_rover id:8002 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,307 | INFO  | main | vbee Start 10 queue_range_rover, num commands= 1 success
2023-01-26 03:53:09,308 | INFO  | main | vbee queueName:queue_maybach id:8003 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,320 | INFO  | main | vbee Start 10 queue_maybach, num commands= 1 success
2023-01-26 03:53:09,320 | INFO  | main | vbee queueName:queue_tamhung id:8004 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,339 | INFO  | main | vbee Start 10 queue_tamhung, num commands= 1 success
2023-01-26 03:53:09,339 | INFO  | main | vbee queueName:queue_roll_roye id:8005 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,359 | INFO  | main | vbee Start 10 queue_roll_roye, num commands= 1 success
2023-01-26 03:53:09,359 | INFO  | main | vbee queueName:queue_benley id:8006 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,392 | INFO  | main | vbee Start 10 queue_benley, num commands= 1 success
2023-01-26 03:53:09,392 | INFO  | main | vbee queueName:queue_avengers id:136 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,430 | INFO  | main | vbee Start 10 queue_avengers, num commands= 1 success
2023-01-26 03:53:09,431 | INFO  | main | vbee queueName:queue_spartan id:10136 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,498 | INFO  | main | vbee Start 10 queue_spartan, num commands= 1 success
2023-01-26 03:53:09,499 | INFO  | main | vbee queueName:queue_my_nhan_ngu id:137 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,533 | INFO  | main | vbee Start 10 queue_my_nhan_ngu, num commands= 1 success
2023-01-26 03:53:09,534 | INFO  | main | vbee queueName:queue_nu_diep_vien id:138 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,632 | INFO  | main | vbee Start 10 queue_nu_diep_vien, num commands= 1 success
2023-01-26 03:53:09,633 | INFO  | main | vbee queueName:queue_vqv id:139 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 03:53:09,683 | INFO  | main | vbee Start 10 queue_vqv, num commands= 1 success
2023-01-26 03:53:09,683 | INFO  | main | vbee queueName:queue_log_nohu id:140 path:com.vinplay.vbee.rmq.slot.processor.LogNoHuSlotProcessor
2023-01-26 03:53:09,708 | INFO  | main | vbee Start 10 queue_log_nohu, num commands= 1 success
2023-01-26 03:53:09,708 | INFO  | main | vbee queueName:queue_report id:701 path:com.vinplay.vbee.rmq.report.processor.ReportMoneyProcessor
2023-01-26 03:53:09,764 | INFO  | main | vbee Start 10 queue_report, num commands= 1 success
2023-01-26 03:53:09,764 | INFO  | main | vbee queueName:queue_vippoint_event id:801 path:com.vinplay.vbee.rmq.vippoint.processor.UpdateVippointEventProcessor
2023-01-26 03:53:09,837 | INFO  | main | vbee Start 10 queue_vippoint_event, num commands= 1 success
2023-01-26 03:53:09,837 | INFO  | main | vbee queueName:queue_login_info id:50 path:com.vinplay.vbee.rmq.statistic.processor.LoginPortalInfoProcessor
2023-01-26 03:53:09,885 | INFO  | main | vbee Start 5 queue_login_info, num commands= 1 success
2023-01-26 03:53:09,885 | INFO  | main | vbee queueName:queue_user_mission id:901 path:com.vinplay.vbee.rmq.userMission.processor.UpdateUserMissionProcessor
2023-01-26 03:53:09,885 | INFO  | main | vbee queueName:queue_user_mission id:902 path:com.vinplay.vbee.rmq.userMission.processor.LogReceivedRewardMissionProcessor
2023-01-26 03:53:09,918 | INFO  | main | vbee Start 1 queue_user_mission, num commands= 2 success
2023-01-26 03:53:09,919 | INFO  | main | vbee queueName:queue_log_mission id:902 path:com.vinplay.vbee.rmq.userMission.processor.LogReceivedRewardMissionProcessor
2023-01-26 03:53:09,958 | INFO  | main | vbee Start 1 queue_log_mission, num commands= 1 success
2023-01-26 03:53:09,959 | INFO  | main | vbee queueName:queue_log_money_extra id:1001 path:com.vinplay.vbee.rmq.log.processor.LogMoneyUserExtraProcessor
2023-01-26 03:53:10,021 | INFO  | main | vbee Start 50 queue_log_money_extra, num commands= 1 success
2023-01-26 03:53:10,022 | INFO  | main | vbee queueName:queue_gift_code id:1200 path:com.vinplay.vbee.rmq.giftcode.processor.UpdateGiftCodeStoreProcessor
2023-01-26 03:53:10,022 | INFO  | main | vbee queueName:queue_gift_code id:1201 path:com.vinplay.vbee.rmq.giftcode.processor.LockGiftCodeProcessor
2023-01-26 03:53:10,047 | INFO  | main | vbee Start 1 queue_gift_code, num commands= 2 success
2023-01-26 03:53:10,047 | INFO  | main | vbee queueName:queue_log_sent_sms id:1310 path:com.vinplay.vbee.rmq.processor.sentsms.LogSentSmsProcessor
2023-01-26 03:53:10,063 | INFO  | main | vbee Start 1 queue_log_sent_sms, num commands= 1 success
2023-01-26 03:53:10,063 | INFO  | main | vbee RABBITMQ Started ...!!!
2023-01-26 03:56:34,617 | ERROR | pool-7-thread-9 | vbee com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet successfully received from the server was 31,809 milliseconds ago.  The last packet sent successfully to the server was 297 milliseconds ago.
2023-01-26 03:56:34,819 | ERROR | pool-7-thread-9 | vbee com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure

The last packet successfully received from the server was 69,368 milliseconds ago.  The last packet sent successfully to the server was 0 milliseconds ago.
2023-01-26 03:56:35,106 | ERROR | pool-7-thread-9 | vbee com.mysql.jdbc.exceptions.jdbc4.MySQLNonTransientConnectionException: No operations allowed after connection closed.
2023-01-26 03:56:36,196 | ERROR | pool-7-thread-9 | vbee java.lang.NullPointerException
2023-01-26 03:56:36,268 | ERROR | pool-7-thread-9 | vbee java.lang.NullPointerException
2023-01-26 03:56:36,282 | ERROR | pool-7-thread-9 | vbee java.lang.NullPointerException
2023-01-26 03:56:36,293 | ERROR | pool-7-thread-9 | vbee java.lang.NullPointerException
2023-01-26 03:56:36,722 | ERROR | pool-7-thread-9 | vbee java.lang.NullPointerException
2023-01-26 03:56:36,754 | ERROR | pool-7-thread-9 | vbee java.lang.NullPointerException
2023-01-26 03:56:36,779 | ERROR | pool-7-thread-9 | vbee java.lang.NullPointerException
2023-01-26 03:56:36,809 | ERROR | pool-7-thread-9 | vbee java.lang.NullPointerException
2023-01-26 03:56:36,961 | ERROR | pool-7-thread-9 | vbee java.lang.NullPointerException
2023-01-26 03:56:36,966 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,057 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,374 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,379 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,385 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,401 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,473 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,524 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,680 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,781 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:37,961 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,014 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,024 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,069 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,120 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,215 | ERROR | pool-7-thread-8 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,246 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,251 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,258 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,296 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,321 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,376 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,464 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,515 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,580 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,619 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,703 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,779 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,848 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,867 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 03:56:38,976 | ERROR | pool-7-thread-7 | vbee java.lang.NullPointerException
2023-01-26 04:04:05,089 | INFO  | main | vbee Logging initialized.
2023-01-26 04:04:05,090 | INFO  | main | vbee VBEE INIT
2023-01-26 04:04:06,142 | INFO  | main | vbee luckyReferenceId: 0
2023-01-26 04:04:06,143 | INFO  | main | vbee moneyVinReferenceId: 1782849
2023-01-26 04:04:06,143 | INFO  | main | vbee moneyXuReferenceId: 0
2023-01-26 04:04:06,144 | INFO  | main | vbee STARTING RABBITMQ ...!!!
2023-01-26 04:04:06,217 | INFO  | main | vbee queueName:queue_server_info id:1 path:com.vinplay.vbee.rmq.serverinfo.processor.LogCCUProcessor
2023-01-26 04:04:06,303 | INFO  | main | vbee Start 1 queue_server_info, num commands= 1 success
2023-01-26 04:04:06,304 | INFO  | main | vbee queueName:queue_payment id:10 path:com.vinplay.vbee.rmq.payment.processor.UpdateMoneyInGameProcessor
2023-01-26 04:04:06,304 | INFO  | main | vbee queueName:queue_payment id:12 path:com.vinplay.vbee.rmq.payment.processor.FreezeMoneyInGameProcessor
2023-01-26 04:04:06,304 | INFO  | main | vbee queueName:queue_payment id:13 path:com.vinplay.vbee.rmq.payment.processor.RestoreMoneyInGameProcessor
2023-01-26 04:04:06,304 | INFO  | main | vbee queueName:queue_payment id:14 path:com.vinplay.vbee.rmq.payment.processor.SafeMoneyProcessor
2023-01-26 04:04:06,304 | INFO  | main | vbee queueName:queue_payment id:16 path:com.vinplay.vbee.rmq.payment.processor.UpdateMoneyProcessor
2023-01-26 04:04:06,304 | INFO  | main | vbee queueName:queue_payment id:18 path:com.vinplay.vbee.rmq.payment.processor.UpdateVippointProcessor
2023-01-26 04:04:06,304 | INFO  | main | vbee queueName:queue_payment id:19 path:com.vinplay.vbee.rmq.payment.processor.NoHuGameBaiProcessor
2023-01-26 04:04:06,348 | INFO  | main | vbee Start 50 queue_payment, num commands= 7 success
2023-01-26 04:04:06,348 | INFO  | main | vbee queueName:queue_payment_minigame id:30 path:com.vinplay.vbee.rmq.payment.processor.UpdateMoneyProcessor
2023-01-26 04:04:06,391 | INFO  | main | vbee Start 50 queue_payment_minigame, num commands= 1 success
2023-01-26 04:04:06,391 | INFO  | main | vbee queueName:queue_payment_gamebai id:40 path:com.vinplay.vbee.rmq.payment.processor.UpdateMoneyInGameProcessor
2023-01-26 04:04:06,391 | INFO  | main | vbee queueName:queue_payment_gamebai id:41 path:com.vinplay.vbee.rmq.payment.processor.FreezeMoneyInGameProcessor
2023-01-26 04:04:06,391 | INFO  | main | vbee queueName:queue_payment_gamebai id:42 path:com.vinplay.vbee.rmq.payment.processor.RestoreMoneyInGameProcessor
2023-01-26 04:04:06,411 | INFO  | main | vbee Start 1 queue_payment_gamebai, num commands= 3 success
2023-01-26 04:04:06,411 | INFO  | main | vbee queueName:queue_pot id:106 path:com.vinplay.vbee.rmq.minigame.processor.UpdatePotProcessor
2023-01-26 04:04:06,455 | INFO  | main | vbee Start 10 queue_pot, num commands= 1 success
2023-01-26 04:04:06,455 | INFO  | main | vbee queueName:queue_fund id:110 path:com.vinplay.vbee.rmq.minigame.processor.UpdateFundProcessor
2023-01-26 04:04:06,490 | INFO  | main | vbee Start 10 queue_fund, num commands= 1 success
2023-01-26 04:04:06,490 | INFO  | main | vbee queueName:queue_vqmm id:105 path:com.vinplay.vbee.rmq.minigame.processor.SaveResultLuckyProcessor
2023-01-26 04:04:06,499 | INFO  | main | vbee Start 1 queue_vqmm, num commands= 1 success
2023-01-26 04:04:06,499 | INFO  | main | vbee queueName:queue_taixiu id:100 path:com.vinplay.vbee.rmq.minigame.processor.SaveTransactionTaiXiuProcessor
2023-01-26 04:04:06,499 | INFO  | main | vbee queueName:queue_taixiu id:101 path:com.vinplay.vbee.rmq.minigame.processor.SaveResultTaiXiuProcessor
2023-01-26 04:04:06,499 | INFO  | main | vbee queueName:queue_taixiu id:102 path:com.vinplay.vbee.rmq.minigame.processor.SaveTransactionDetailTaiXiuProcessor
2023-01-26 04:04:06,500 | INFO  | main | vbee queueName:queue_taixiu id:103 path:com.vinplay.vbee.rmq.minigame.processor.UpdateTransactionDetailTaiXiuProcessor
2023-01-26 04:04:06,510 | INFO  | main | vbee Start 10 queue_taixiu, num commands= 4 success
2023-01-26 04:04:06,510 | INFO  | main | vbee queueName:queue_minipoker id:111 path:com.vinplay.vbee.rmq.minigame.processor.LogMiniPokerProcessor
2023-01-26 04:04:06,523 | INFO  | main | vbee Start 10 queue_minipoker, num commands= 1 success
2023-01-26 04:04:06,524 | INFO  | main | vbee queueName:queue_pokego id:134 path:com.vinplay.vbee.rmq.minigame.processor.LogPokeGoProcessor
2023-01-26 04:04:06,539 | INFO  | main | vbee Start 10 queue_pokego, num commands= 1 success
2023-01-26 04:04:06,539 | INFO  | main | vbee queueName:queue_galaxy id:141 path:com.vinplay.vbee.rmq.minigame.processor.LogGalaxyProcessor
2023-01-26 04:04:06,561 | INFO  | main | vbee Start 10 queue_galaxy, num commands= 1 success
2023-01-26 04:04:06,561 | INFO  | main | vbee queueName:queue_caothap id:112 path:com.vinplay.vbee.rmq.minigame.processor.LogCaoThapProcessor
2023-01-26 04:04:06,561 | INFO  | main | vbee queueName:queue_caothap id:113 path:com.vinplay.vbee.rmq.minigame.processor.LogCaoThapWinProcessor
2023-01-26 04:04:06,575 | INFO  | main | vbee Start 10 queue_caothap, num commands= 2 success
2023-01-26 04:04:06,576 | INFO  | main | vbee queueName:queue_baucua id:130 path:com.vinplay.vbee.rmq.minigame.processor.SaveTransactionDetailBauCuaProcessor
2023-01-26 04:04:06,576 | INFO  | main | vbee queueName:queue_baucua id:131 path:com.vinplay.vbee.rmq.minigame.processor.SaveTransactionBauCuaProcessor
2023-01-26 04:04:06,576 | INFO  | main | vbee queueName:queue_baucua id:132 path:com.vinplay.vbee.rmq.minigame.processor.SaveResultBauCuaProcessor
2023-01-26 04:04:06,576 | INFO  | main | vbee queueName:queue_baucua id:133 path:com.vinplay.vbee.rmq.minigame.processor.UpdateToiChonCaProcessor
2023-01-26 04:04:06,589 | INFO  | main | vbee Start 10 queue_baucua, num commands= 4 success
2023-01-26 04:04:06,589 | INFO  | main | vbee queueName:queue_hu_gamebai id:401 path:com.vinplay.vbee.rmq.gamebai.processor.CongTienHuGameBaiProcessor
2023-01-26 04:04:06,590 | INFO  | main | vbee queueName:queue_hu_gamebai id:402 path:com.vinplay.vbee.rmq.gamebai.processor.SaveLogNoHuGameBaiProcessor
2023-01-26 04:04:06,599 | INFO  | main | vbee Start 1 queue_hu_gamebai, num commands= 2 success
2023-01-26 04:04:06,599 | INFO  | main | vbee queueName:queue_log_gamebai id:501 path:com.vinplay.vbee.rmq.gamebai.processor.SaveLogGameByNickNameProcessor
2023-01-26 04:04:06,600 | INFO  | main | vbee queueName:queue_log_gamebai id:502 path:com.vinplay.vbee.rmq.gamebai.processor.SaveLogGameDetailProcessor
2023-01-26 04:04:06,624 | INFO  | main | vbee Start 10 queue_log_gamebai, num commands= 2 success
2023-01-26 04:04:06,625 | INFO  | main | vbee queueName:queue_log_money id:601 path:com.vinplay.vbee.rmq.log.processor.LogMoneyUserProcessor
2023-01-26 04:04:06,659 | INFO  | main | vbee Start 50 queue_log_money, num commands= 1 success
2023-01-26 04:04:06,659 | INFO  | main | vbee queueName:queue_log_report_user_balance id:602 path:com.vinplay.vbee.rmq.loguserinday.LogSumReportUserSQLProcessor
2023-01-26 04:04:06,705 | INFO  | main | vbee Start 50 queue_log_report_user_balance, num commands= 1 success
2023-01-26 04:04:06,705 | INFO  | main | vbee queueName:queue_log_chuyen_tien_dai_ly id:602 path:com.vinplay.vbee.rmq.log.processor.LogChuyenTienDaiLyProcessor
2023-01-26 04:04:06,705 | INFO  | main | vbee queueName:queue_log_chuyen_tien_dai_ly id:11 path:com.vinplay.vbee.rmq.payment.processor.FreezeMoneyTranferAgentProcessor
2023-01-26 04:04:06,705 | INFO  | main | vbee queueName:queue_log_chuyen_tien_dai_ly id:15 path:com.vinplay.vbee.rmq.payment.processor.RestoreMoneyTranferAgentProcessor
2023-01-26 04:04:06,739 | INFO  | main | vbee Start 10 queue_log_chuyen_tien_dai_ly, num commands= 3 success
2023-01-26 04:04:06,739 | INFO  | main | vbee queueName:queue_kho_bau id:135 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 04:04:06,753 | INFO  | main | vbee Start 10 queue_kho_bau, num commands= 1 success
2023-01-26 04:04:06,753 | INFO  | main | vbee queueName:queue_audition id:8001 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 04:04:06,766 | INFO  | main | vbee Start 10 queue_audition, num commands= 1 success
2023-01-26 04:04:06,767 | INFO  | main | vbee queueName:queue_chiemtinh id:8010 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
2023-01-26 04:04:06,789 | INFO  | main | vbee Start 10 queue_chiemtinh, num commands= 1 success
2023-01-26 04:04:06,789 | INFO  | main | vbee queueName:queue_bikini id:8011 path:com.vinplay.vbee.rmq.slot.processor.LogSlotMachineProcessor
