2023-10-14 00:00:40,345 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: bjcanthj1990, money exchange= -12000
2023-10-14 00:00:40,349 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: laogiakhotinh, money exchange= -2000
2023-10-14 00:00:40,363 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: ngaysuanamay, money exchange= 11760
2023-10-14 00:00:40,370 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: ngoaihinh, money exchange= 1960
2023-10-14 00:00:40,407 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: djcunghoanso, money exchange= -1000
2023-10-14 00:00:40,409 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: rongranlenmay, money exchange= -10000
2023-10-14 00:00:40,425 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: tuananhbidien, money exchange= 980
2023-10-14 00:00:40,426 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: CheSaiGon876, money exchange= 9800
2023-10-14 00:00:41,340 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: vatchanhbovo, money exchange= -10000
2023-10-14 00:00:41,349 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: emcuagio, money exchange= -2000
2023-10-14 00:00:41,358 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: Metvaite789, money exchange= 9800
2023-10-14 00:00:41,368 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: lithanxon33, money exchange= 1960
2023-10-14 00:00:41,397 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: nanchungca, money exchange= -95000
2023-10-14 00:00:41,410 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: thuanhjeuqua, money exchange= -45000
2023-10-14 00:00:41,897 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: lamviecquanquat, money exchange= 5880
2023-10-14 00:00:41,913 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: buonhathiu, money exchange= -6000
2023-10-14 00:00:42,400 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: osjncaocap, money exchange= -10000
2023-10-14 00:00:42,400 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: benhvuathoi21, money exchange= -4000
2023-10-14 00:00:42,405 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: Lkaudition, money exchange= -1000
2023-10-14 00:00:42,420 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: Trangmoon9x, money exchange= 3920
2023-10-14 00:00:42,423 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: nhjnnee, money exchange= -2500
2023-10-14 00:00:42,427 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: lontalonton, money exchange= 9800
2023-10-14 00:00:42,441 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: dongsuoy, money exchange= 3430
2023-10-14 00:00:51,902 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: giupsart, money exchange= -1000
2023-10-14 00:00:51,916 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: Thuasaplo, money exchange= 980
2023-10-14 00:01:02,401 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: bioxiine, money exchange= -2000
2023-10-14 00:01:02,416 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: batdaunee, money exchange= 1960
2023-10-14 00:01:03,889 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: dengolam, money exchange= -80000
2023-10-14 00:01:03,905 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: Birmingham, money exchange= 78400
2023-10-14 00:01:08,904 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: Athelstan, money exchange= -6000
2023-10-14 00:01:08,917 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: denvaite, money exchange= 5880
2023-10-14 00:01:09,345 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: Detaichanh64, money exchange= -10000
2023-10-14 00:01:09,361 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: k0phainhuthe, money exchange= 9800
2023-10-14 00:01:09,899 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: Chuottrunglo, money exchange= 5880
2023-10-14 00:01:09,915 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: ngonthom42, money exchange= -6000
2023-10-14 00:01:10,342 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: trangeck, money exchange= -10000
