26 Sep 2023 | 01:11:16,375 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:11:16,378 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:12:21,332 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:12:21,335 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:12:21,342 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:12:21,344 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:12:21,374 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:12:21,374 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:13:26,331 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:13:26,332 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:13:26,341 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:13:26,344 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:13:26,376 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:13:26,376 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:14:31,332 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:14:31,333 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:14:31,335 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:14:31,340 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:14:31,373 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:14:31,374 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:15:36,333 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:15:36,335 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:15:36,336 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:15:36,339 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:15:36,372 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:15:36,373 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:16:41,340 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:16:41,357 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:16:41,363 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:16:41,367 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:16:41,372 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:16:41,372 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:17:46,332 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:17:46,335 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:17:46,339 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:17:46,341 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:17:46,373 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:17:46,373 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:18:51,332 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:18:51,336 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:18:51,340 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
