14 Oct 2023, 00:00:03,822 , 1000,    1,      56,     happyday9x,      10000,     XDDC<,                '0;0,00:00:03 14-10-2023
14 Oct 2023, 00:00:03,833 , 1000,    1,      56,      AlifRezki,     100000,     XDDC<,                '0;0,00:00:03 14-10-2023
14 Oct 2023, 00:00:03,973 , 1000,    1,      56,  Nguoitinhbian,      10000,     XDDC<,                '0;0,00:00:03 14-10-2023
14 Oct 2023, 00:00:04,272 , 1000,    1,      56,     Alexandrem,       1000,     XDDC<,                '0;1,00:00:04 14-10-2023
14 Oct 2023, 00:00:04,281 , 1000,    1,      56,       Amarante,     100000,     XDDC<,                '0;0,00:00:04 14-10-2023
14 Oct 2023, 00:00:04,290 , 1000,    1,      56,  Honglaumong97,     100000,     XDDC<,                '0;4,00:00:04 14-10-2023
14 Oct 2023, 00:00:04,301 , 1000,    1,      56,       phichthu,     100000,     XDDC<,                '0;1,00:00:04 14-10-2023
14 Oct 2023, 00:00:04,423 , 1000,    1,      56,      hungcamap,      10000,     XDDC<,                '0;0,00:00:04 14-10-2023
14 Oct 2023, 00:00:04,433 , 1000,    1,      56,         Aubree,     100000,     XDDC<,                '0;0,00:00:04 14-10-2023
14 Oct 2023, 00:00:04,442 , 1000,    1,      56,       phichthu,       1000,     XDDC<,                '0;1,00:00:04 14-10-2023
14 Oct 2023, 00:00:04,572 , 1000,    1,      56,      hungcamap,      10000,     XDDC<,                '0;0,00:00:04 14-10-2023
14 Oct 2023, 00:00:04,580 , 1000,    1,      56,       Algernon,      10000,     XDDC<,                '0;0,00:00:04 14-10-2023
14 Oct 2023, 00:00:04,873 , 1000,    1,      56,  Nguoitinhbian,     100000,     XDDC<,                '0;0,00:00:04 14-10-2023
14 Oct 2023, 00:00:05,022 , 1000,    1,      56,     happyday9x,       1000,     XDDC<,                '0;0,00:00:05 14-10-2023
14 Oct 2023, 00:00:05,031 , 1000,    1,      56,      AlifRezki,       1000,     XDDC<,                '0;0,00:00:05 14-10-2023
14 Oct 2023, 00:00:05,322 , 1000,    1,      56,    Trangtrug96,     100000,     XDDC<,                '0;1,00:00:05 14-10-2023
14 Oct 2023, 00:00:05,473 , 1000,    1,      56,         Adalyn,       1000,     XDDC<,                '0;0,00:00:05 14-10-2023
14 Oct 2023, 00:00:05,625 , 1000,    1,      56,Hoathanhque2001,       1000,     XDDC<,                '0;1,00:00:05 14-10-2023
14 Oct 2023, 00:00:05,635 , 1000,    1,      56,  Honglaumong97,       1000,     XDDC<,                '0;4,00:00:05 14-10-2023
14 Oct 2023, 00:00:05,774 , 1000,    1,      56,         Aubree,       1000,     XDDC<,                '0;0,00:00:05 14-10-2023
14 Oct 2023, 00:00:05,785 , 1000,    1,      56,       Algernon,     100000,     XDDC<,                '0;0,00:00:05 14-10-2023
14 Oct 2023, 00:00:05,926 , 1000,    1,      56,       Amarante,       1000,     XDDC<,                '0;0,00:00:05 14-10-2023
14 Oct 2023, 00:00:06,076 , 1000,    1,      56,  Nguoitinhbian,     100000,     XDDC<,                '0;0,00:00:06 14-10-2023
14 Oct 2023, 00:00:06,374 , 1000,    1,      56,      hungcamap,      10000,     XDDC<,                '0;0,00:00:06 14-10-2023
